chr,target_id,ext_gene
chrI,W04C9.6,W04C9.6
chrI,W04C9.1a,haf-4
chrI,Y65B4BL.3a,Y65B4BL.3
chrI,Y65B4BL.4,Y65B4BL.4
chrI,Y65B4BL.2a,deps-1
chrI,Y65B4BL.2b.3,deps-1
chrI,Y65B4BL.7b,Y65B4BL.7
chrI,Y65B4BL.5b,acs-13
chrI,Y65B4BL.10,Y65B4BL.10
chrI,Y65B4BL.6a,Y65B4BL.6
chrI,Y65B4BL.8,Y65B4BL.8
chrI,Y65B4BL.12,Y65B4BL.12
chrI,Y65B4BL.1c,Y65B4BL.1
chrI,Y65B4BM.2,Y65B4BM.2
chrI,Y65B4BR.5a,icd-2
chrI,Y65B4BR.5c,icd-2
chrI,Y65B4BR.10,Y65B4BR.10
chrI,Y65B4BR.4b,wwp-1
chrI,Y65B4BR.4d.2,wwp-1
chrI,Y65B4BR.4c.1,wwp-1
chrI,Y65B4BR.3,ptr-21
chrI,Y65B4BR.2a,lpr-1
chrI,Y65B4BR.2e,lpr-1
chrI,Y65B4BR.2b,lpr-1
chrI,Y65B4BR.1,Y65B4BR.1
chrI,Y65B4BR.6a,grl-16
chrI,Y65B4BR.6c,grl-16
chrI,F56A6.8,F56A6.8
chrI,F56A6.2b,hum-7
chrI,F56A6.7,F56A6.7
chrI,F56A6.4b,eme-1
chrI,F56A6.4d,eme-1
chrI,F56A6.1b,sago-2
chrI,Y65B4A.10,Y65B4A.10
chrI,Y65B4A.6a,Y65B4A.6
chrI,Y65B4A.3,vps-20
chrI,Y65B4A.2c,Y65B4A.2
chrI,Y65B4A.7a,Y65B4A.7
chrI,Y65B4A.8.1,
chrI,Y65B4A.9a,
chrI,Y18H1A.14,
chrI,Y18H1A.11a.2,
chrI,Y18H1A.11c.1,
chrI,Y18H1A.11d,
chrI,Y18H1A.1,
chrI,Y18H1A.4.2,
chrI,Y18H1A.3a,
chrI,Y18H1A.3c,
chrI,Y18H1A.3e,
chrI,Y18H1A.7b,
chrI,Y18H1A.6c,
chrI,Y18H1A.6d,
chrI,Y18H1A.18,
chrI,Y18H1A.17,
chrI,Y18H1A.12b,
chrI,Y18H1A.t1,
chrI,Y18H1A.8a,
chrI,T06A4.2,
chrI,T06A4.3b,
chrI,T06A4.1b,
chrI,T06A4.4,
chrI,T06A4.7,
chrI,Y73A3A.2,
chrI,ZC123.t1,
chrI,ZC123.10,
chrI,ZC123.7,
chrI,ZC123.5,ZC123.5
chrI,ZC123.3c,zfh-2
chrI,ZC123.3e,zfh-2
chrI,ZC123.6,ZC123.6
chrI,ZC123.4a,ZC123.4
chrI,ZC123.4b,ZC123.4
chrI,Y95B8A.8,Y95B8A.8
chrI,Y95B8A.10c,pde-6
chrI,Y95B8A.6c,Y95B8A.6
chrI,Y95B8A.6a.1,Y95B8A.6
chrI,Y95B8A.6a.2,Y95B8A.6
chrI,Y95B8A.11a,him-19
chrI,Y95B8A.11c,him-19
chrI,Y95B8A.5b,gpa-16
chrI,Y95B8A.18,Y95B8A.18
chrI,Y95B8A.16,Y95B8A.16
chrI,Y95B8A.1,nas-30
chrI,Y95B8A.15,Y95B8A.15
chrI,Y95B8A.t1,Y95B8A.t1
chrI,Y34D9B.1b,mig-1
chrI,F54A5.2b.1,cutl-20
chrI,F54A5.3a,shc-1
chrI,F54A5.3b.2,shc-1
chrI,F54A5.3c,shc-1
chrI,F54A5.3e,shc-1
chrI,F54A5.3g,shc-1
chrI,F54A5.5,F54A5.5
chrI,C54G6.3,C54G6.3
chrI,C54G6.7,C54G6.7
chrI,C54G6.1a,madf-6
chrI,C54G6.8,C54G6.8
chrI,Y34D9A.11,spp-23
chrI,Y34D9A.1.2,mrpl-38
chrI,Y34D9A.3a,Y34D9A.3
chrI,Y34D9A.3b,Y34D9A.3
chrI,Y34D9A.3c,Y34D9A.3
chrI,Y34D9A.7a,Y34D9A.7
chrI,Y34D9A.7c,Y34D9A.7
chrI,Y34D9A.8b,Y34D9A.8
chrI,Y34D9A.8c,Y34D9A.8
chrI,Y34D9A.2,npr-23
chrI,R06A10.2a.2,gsa-1
chrI,R06A10.1,R06A10.1
chrI,R06A10.5a,R06A10.5
chrI,R06A10.6,21ur-15525
chrI,ZK993.2b,ZK993.2
chrI,ZK993.4,ZK993.4
chrI,ZK993.1b,ceh-45
chrI,Y48G8AL.10b,Y48G8AL.10
chrI,Y48G8AL.10d,Y48G8AL.10
chrI,Y48G8AL.14,aps-3
chrI,Y48G8AL.17,Y48G8AL.17
chrI,Y48G8AL.8a,rpl-17
chrI,Y48G8AL.11c,haf-6
chrI,Y48G8AL.11b.1,haf-6
chrI,Y48G8AL.20,
chrI,Y48G8AL.5b,
chrI,Y48G8AL.5d,
chrI,Y48G8AL.16,
chrI,Y48G8AL.13a.1,
chrI,Y48G8AL.13a.3,
chrI,Y48G8AL.13b.2,
chrI,Y48G8AL.13b.4,
chrI,Y48G8AL.1b,
chrI,Y48G8AL.1d,
chrI,Y48G8AL.19,
chrI,Y48G8AR.1a,
chrI,Y48G8AR.1c,
chrI,Y48G8AR.6,
chrI,Y48G8AR.5,
chrI,Y48G8AR.3,
chrI,K12C11.4c,dapk-1
chrI,K12C11.5,
chrI,K12C11.3a,
chrI,K12C11.6,
chrI,K12C11.7b,
chrI,K12C11.1a,
chrI,Y92H12BL.1a,
chrI,Y92H12BL.5,
chrI,Y92H12BM.1,
chrI,Y92H12BR.6,
chrI,Y92H12BR.3a,
chrI,Y92H12BR.4,
chrI,F37F2.2.2,
chrI,F37F2.2.3,
chrI,F47G6.4a,
chrI,F47G6.t1,
chrI,F47G6.4b,spe-15
chrI,F47G6.3,
chrI,F47G6.1a,
chrI,F47G6.5,21ur-13232
chrI,Y92H12A.5a,
chrI,Y92H12A.4a,
chrI,Y92H12A.4c,
chrI,Y92H12A.2a,
chrI,Y92H12A.7,
chrI,Y92H12A.t1,
chrI,Y73E7A.3a,Y73E7A.3
chrI,Y73E7A.3b.2,Y73E7A.3
chrI,Y73E7A.3d.1,Y73E7A.3
chrI,Y73E7A.4,cpx-1
chrI,Y73E7A.2,Y73E7A.2
chrI,Y73E7A.6.1,Y73E7A.6
chrI,Y73E7A.9b,adpr-1
chrI,Y73E7A.9d,adpr-1
chrI,Y73E7A.7b,bre-4
chrI,Y73E7A.1b,Y73E7A.1
chrI,Y71G12B.20a,mab-20
chrI,Y71G12B.20d,mab-20
chrI,Y71G12B.18a,Y71G12B.18
chrI,Y71G12B.34,21ur-14112
chrI,Y71G12B.33a,Y71G12B.33
chrI,Y71G12B.22,Y71G12B.22
chrI,Y71G12B.23b,Y71G12B.23
chrI,Y71G12B.35,Y71G12B.35
chrI,Y71G12B.31a,Y71G12B.31
chrI,Y71G12B.37,Y71G12B.37
chrI,Y71G12B.41,Y71G12B.41
chrI,Y71G12B.15a.2,ubc-3
chrI,Y71G12B.15b,ubc-3
chrI,Y71G12B.12a.2,
chrI,Y71G12B.12a.1,
chrI,Y71G12B.12b,
chrI,Y71G12B.11b,
chrI,Y71G12B.11f,
chrI,Y71G12B.11d,
chrI,Y71G12B.29,mir-50
chrI,Y71G12B.29b,mir-50
chrI,Y71G12B.24a,
chrI,Y71G12B.10,
chrI,Y71G12B.9b,
chrI,Y71G12B.8,
chrI,Y71G12B.25b,
chrI,Y71G12B.26b,
chrI,Y71G12B.7,
chrI,Y71G12B.6b.2,
chrI,Y71G12B.27,
chrI,Y71G12B.5b,
chrI,Y71G12B.3,
chrI,Y71G12B.2,
chrI,Y71G12B.30b,
chrI,Y71G12B.39,
chrI,Y71G12B.1b,
chrI,C53H9.3,
chrI,C53H9.2b,
chrI,C53H9.2d,
chrI,M01D7.7a,egl-30
chrI,M01D7.7c,egl-30
chrI,M01D7.11,M01D7.11
chrI,M01D7.6.2,emr-1
chrI,M01D7.4a,tag-96
chrI,M01D7.9,M01D7.9
chrI,M01D7.2a,scm-1
chrI,M01D7.2c,scm-1
chrI,Y71G12A.3b,tub-2
chrI,Y71G12A.2a,trpp-10
chrI,Y51F10.7,
chrI,Y71G12A.2c,trpp-10
chrI,Y51F10.4a,Y51F10.4
chrI,Y51F10.4c,Y51F10.4
chrI,Y51F10.4e,Y51F10.4
chrI,Y51F10.10a,Y51F10.10
chrI,Y51F10.10c,Y51F10.10
chrI,Y51F10.10e,Y51F10.10
chrI,Y51F10.3a,Y51F10.3
chrI,Y51F10.13,Y51F10.13
chrI,Y51F10.2a,Y51F10.2
chrI,Y51F10.2b.1,Y51F10.2
chrI,Y51F10.2b.2,Y51F10.2
chrI,Y51F10.2b.6,Y51F10.2
chrI,Y51F10.2c.1,Y51F10.2
chrI,Y51F10.2c.3,Y51F10.2
chrI,Y51F10.2b.8,Y51F10.2
chrI,Y20F4.3a,gap-3
chrI,Y20F4.11,Y20F4.11
chrI,Y20F4.4a,Y20F4.4
chrI,Y20F4.10,linc-30
chrI,Y37E3.1,Y37E3.1
chrI,Y37E3.4.2,moag-4
chrI,Y37E3.5a,arl-13
chrI,Y37E3.5c,arl-13
chrI,Y37E3.26,Y37E3.26
chrI,Y37E3.7.1,rla-1
chrI,Y37E3.8b.1,Y37E3.8
chrI,Y37E3.22,Y37E3.22
chrI,Y37E3.21,Y37E3.21
chrI,Y37E3.9,phb-1
chrI,Y37E3.10b,Y37E3.10
chrI,Y37E3.11b,Y37E3.11
chrI,Y37E3.11g.2,Y37E3.11
chrI,Y37E3.11d,Y37E3.11
chrI,Y37E3.11e.3,Y37E3.11
chrI,Y37E3.11f,Y37E3.11
chrI,Y37E3.11h,Y37E3.11
chrI,Y37E3.20,Y37E3.20
chrI,Y37E3.13b,iglr-3
chrI,Y37E3.15b,npp-13
chrI,Y37E3.19,Y37E3.19
chrI,Y37E3.16.2,fpn-1.1
chrI,Y37E3.17b,Y37E3.17
chrI,Y37E3.24,Y37E3.24
chrI,Y37E3.23,Y37E3.23
chrI,W03F11.6c,afd-1
chrI,W03F11.6f,afd-1
chrI,W03F11.6g,afd-1
chrI,W03F11.6i,afd-1
chrI,W03F11.6k.2,afd-1
chrI,W03F11.6m.2,afd-1
chrI,W03F11.6k.1,afd-1
chrI,W03F11.6e,afd-1
chrI,W03F11.5,W03F11.5
chrI,W03F11.1b,W03F11.1
chrI,W03F11.4,W03F11.4
chrI,F12B6.3b,lgc-51
chrI,F12B6.2a,slc-17.6
chrI,F12B6.2d,slc-17.6
chrI,F12B6.2f,slc-17.6
chrI,F12B6.1b,abt-2
chrI,Y39G10AL.6,Y39G10AL.6
chrI,Y39G10AL.t1,Y39G10AL.t1
chrI,Y39G10AL.1b,Y39G10AL.1
chrI,Y39G10AL.3.2,cdk-7
chrI,Y39G10AR.11.2,Y39G10AR.11
chrI,Y39G10AR.12a,tpxl-1
chrI,Y39G10AR.12b,
chrI,Y39G10AR.13b.1,icp-1
chrI,Y39G10AR.9a,Y39G10AR.9
chrI,Y39G10AR.21a,nsun-4
chrI,Y39G10AR.21c,nsun-4
chrI,Y39G10AR.8,Y39G10AR.8
chrI,Y39G10AR.7a,ekl-7
chrI,Y39G10AR.14a.1,mcm-4
chrI,Y39G10AR.14b,mcm-4
chrI,Y39G10AR.32b,Y39G10AR.32
chrI,Y39G10AR.22,srbc-64
chrI,Y39G10AR.6,ugt-31
chrI,Y39G10AR.23,nspa-12
chrI,Y39G10AR.31,Y39G10AR.31
chrI,Y39G10AR.29,Y39G10AR.29
chrI,Y39G10AR.17,sydn-1
chrI,Y39G10AR.18b.2,dot-1.1
chrI,Y39G10AR.18a.1,dot-1.1
chrI,Y39G10AR.18c.1,dot-1.1
chrI,Y39G10AR.2a,zwl-1
chrI,Y39G10AR.2d,zwl-1
chrI,Y39G10AR.24,Y39G10AR.24
chrI,F23C8.13a,F23C8.13
chrI,F23C8.13c,F23C8.13
chrI,F23C8.5a.2,F23C8.5
chrI,F23C8.6,did-2
chrI,F23C8.8,F23C8.8
chrI,F23C8.4,ubxn-1
chrI,F23C8.14b,F23C8.14
chrI,F23C8.3b,F23C8.3
chrI,F23C8.2,F23C8.2
chrI,F23C8.11,F23C8.11
chrI,T16H5.1b,inx-19
chrI,Y74C10AL.2.2,Y74C10AL.2
chrI,Y74C10AR.3b.2,abtm-1
chrI,Y74C10AR.3c,abtm-1
chrI,Y74C10AR.1a,eif-3.I
chrI,Y23H5B.6b,
chrI,Y23H5B.5,
chrI,Y23H5B.7b,
chrI,Y23H5B.10,
chrI,Y23H5B.4,
chrI,Y23H5B.14a,
chrI,Y23H5B.3,
chrI,Y23H5B.2,
chrI,Y23H5B.1,
chrI,Y23H5B.12b,
chrI,C55C2.3,
chrI,C55C2.1,
chrI,C55C2.5b,
chrI,C55C2.5d,
chrI,K07A3.1a.1,
chrI,K07A3.2a,
chrI,K07A3.3b,
chrI,K07A3.4,
chrI,Y23H5A.5a,
chrI,Y23H5A.5c,
chrI,Y23H5A.5d.2,
chrI,Y23H5A.11,
chrI,Y23H5A.4a,
chrI,Y23H5A.9,
chrI,Y23H5A.2b,Y23H5A.2
chrI,Y23H5A.7a,cars-1
chrI,Y23H5A.7c.1,cars-1
chrI,Y23H5A.1a,cars-2
chrI,Y23H5A.8b,Y23H5A.8
chrI,Y23H5A.8a.1,Y23H5A.8
chrI,F40E3.3,F40E3.3
chrI,F40E3.10,linc-23
chrI,F40E3.5.2,F40E3.5
chrI,F40E3.6b,F40E3.6
chrI,F40E3.8,F40E3.8
chrI,F32B5.6d.4,F32B5.6
chrI,F32B5.6a,F32B5.6
chrI,F32B5.6d.2,F32B5.6
chrI,F32B5.6g,F32B5.6
chrI,F32B5.6i,F32B5.6
chrI,F32B5.6k,F32B5.6
chrI,F32B5.6e,F32B5.6
chrI,F32B5.6d.3,F32B5.6
chrI,F32B5.6d.1,F32B5.6
chrI,F32B5.7a.1,F32B5.7
chrI,F32B5.7a.2,F32B5.7
chrI,F32B5.12,F32B5.12
chrI,F32B5.14,F32B5.14
chrI,F32B5.8a,cpz-1
chrI,F32B5.8b.2,cpz-1
chrI,F32B5.9,F32B5.9
chrI,F32B5.3,F32B5.3
chrI,F32B5.10,F32B5.10
chrI,F32B5.16,F32B5.16
chrI,Y71F9B.21,Y71F9B.21
chrI,Y71F9B.5b.2,lin-17
chrI,Y71F9B.5c.1,lin-17
chrI,Y71F9B.5b.1,lin-17
chrI,Y71F9B.5d,lin-17
chrI,Y71F9B.16b,dnj-30
chrI,Y71F9B.6b,Y71F9B.6
chrI,Y71F9B.6d,Y71F9B.6
chrI,Y71F9B.6f,Y71F9B.6
chrI,Y71F9B.4.1,snr-7
chrI,Y71F9B.3,yop-1
chrI,Y71F9B.2b,Y71F9B.2
chrI,Y71F9B.8e,lron-11
chrI,Y71F9B.8c,lron-11
chrI,Y71F9B.19,Y71F9B.19
chrI,Y71F9B.18,Y71F9B.18
chrI,Y71F9B.20,Y71F9B.20
chrI,Y71F9B.9b,Y71F9B.9
chrI,Y71F9B.24a,Y71F9B.24
chrI,Y71F9B.10c,sop-3
chrI,Y71F9B.10e,sop-3
chrI,Y71F9B.10b,sop-3
chrI,Y71F9B.13a,Y71F9B.13
chrI,Y71F9B.13b,Y71F9B.13
chrI,W03D8.9.1,W03D8.9
chrI,W03D8.10,W03D8.10
chrI,W03D8.1,W03D8.1
chrI,W03D8.7,W03D8.7
chrI,W03D8.2a,W03D8.2
chrI,W03D8.12,W03D8.12
chrI,W03D8.6b,itx-1
chrI,W03D8.6d.2,itx-1
chrI,W03D8.6d.1,itx-1
chrI,W03D8.5,W03D8.5
chrI,W03D8.3,W03D8.3
chrI,W10C8.2,pop-1
chrI,W10C8.14,W10C8.14
chrI,W10C8.12,W10C8.12
chrI,W10C8.13,W10C8.13
chrI,W10C8.15,W10C8.15
chrI,W10C8.7,W10C8.7
chrI,W10C8.1a,ccb-2
chrI,W10C8.1c,ccb-2
chrI,W10C8.4a,W10C8.4
chrI,W10C8.4c.2,W10C8.4
chrI,W10C8.4b,W10C8.4
chrI,W10C8.5.2,W10C8.5
chrI,W10C8.6,W10C8.6
chrI,Y71F9AL.21,Y71F9AL.21
chrI,Y71F9AL.10.1,Y71F9AL.10
chrI,Y71F9AL.13a.1,rpl-1
chrI,Y71F9AL.13b.1,rpl-1
chrI,Y71F9AL.13b.3,rpl-1
chrI,Y71F9AL.13b.5,rpl-1
chrI,Y71F9AL.13b.7,rpl-1
chrI,Y71F9AL.13c,rpl-1
chrI,Y71F9AL.19,Y71F9AL.19
chrI,Y71F9AL.9,Y71F9AL.9
chrI,Y71F9AL.14.1,dnc-5
chrI,Y71F9AL.7,
chrI,Y71F9AL.22b,
chrI,Y71F9AL.24,
chrI,Y71F9AL.17.1,
chrI,Y71F9AL.5,
chrI,Y71F9AL.18a,
chrI,Y71F9AL.18d,
chrI,Y71F9AL.2,
chrI,Y71F9AL.23b,
chrI,Y71F9AM.6,
chrI,Y71F9AM.5a,
chrI,Y71F9AM.4b,
chrI,Y71F9AM.8,
chrI,Y71F9AR.7,
chrI,Y71F9AR.8,
chrI,Y71F9AR.6,
chrI,Y71F9AR.2,
chrI,Y54E10BL.4,
chrI,Y54E10BL.3,
chrI,Y54E10BL.8,
chrI,Y54E10BL.1,
chrI,Y54E10BR.3,
chrI,Y54E10BR.6,
chrI,Y54E10BR.2.2,
chrI,Y54E10BR.7,
chrI,Y54E10BR.1a,
chrI,M01B12.3,
chrI,M01B12.4a,
chrI,M01B12.5a.1,
chrI,M01B12.5b,
chrI,C45E1.6,
chrI,C45E1.1a,
chrI,C45E1.10,
chrI,C45E1.4,
chrI,K09H9.10,
chrI,K09H9.3,
chrI,K09H9.5,
chrI,K09H9.2.1,
chrI,K09H9.1,
chrI,Y54E10A.9b.1,
chrI,Y54E10A.9a.2,
chrI,Y54E10A.9c.2,
chrI,Y54E10A.7,
chrI,Y54E10A.5.2,
chrI,Y54E10A.10,
chrI,Y54E10A.12,
chrI,Y54E10A.17.2,
chrI,Y54E10A.4b,
chrI,Y54E10A.4a,
chrI,Y54E10A.14,
chrI,Y54E10A.3,
chrI,Y54E10A.16.1,
chrI,Y54E10A.24,
chrI,Y54E10A.26,
chrI,Y54E10A.29,
chrI,Y54E10A.28,
chrI,Y54E10A.22,
chrI,Y54E10A.21,
chrI,Y44E3B.1a.1,
chrI,Y44E3B.1c,
chrI,Y44E3B.1b.2,
chrI,W01B11.3.2,
chrI,W01B11.2,
chrI,W01B11.6b,
chrI,Y44E3A.2,
chrI,Y44E3A.4,
chrI,Y44E3A.1b,
chrI,Y44E3A.1d.2,
chrI,Y44E3A.6b,
chrI,W05F2.7,
chrI,W05F2.8b,
chrI,W05F2.3,
chrI,W05F2.6b,
chrI,W05F2.4a,
chrI,W05F2.4c,
chrI,W05F2.4e,
chrI,F25F1.3,
chrI,K03E5.7,
chrI,K03E5.3,
chrI,K03E5.9,
chrI,K03E5.2b,
chrI,K03E5.2c.1,
chrI,K03E5.1,
chrI,Y47G6A.28,
chrI,Y47G6A.11,
chrI,Y47G6A.10,
chrI,Y47G6A.15,
chrI,Y47G6A.8,
chrI,Y47G6A.7a.1,
chrI,Y47G6A.7b.1,
chrI,Y47G6A.37,
chrI,Y47G6A.6,
chrI,Y47G6A.19a,
chrI,Y47G6A.30,
chrI,Y47G6A.20b,
chrI,Y47G6A.20c,
chrI,Y47G6A.21,
chrI,Y47G6A.27,
chrI,Y47G6A.33,
chrI,Y47G6A.23b,
chrI,Y47G6A.23d,
chrI,Y47G6A.3,
chrI,Y47G6A.24a,
chrI,Y47G6A.25,
chrI,Y47G6A.2.1,
chrI,Y47G6A.1.1,
chrI,Y47G6A.32,
chrI,T28F2.4a,
chrI,T28F2.2b,
chrI,T28F2.t1,
chrI,T28F2.5,
chrI,T28F2.8,
chrI,D1037.3,ftn-2
chrI,D1037.1,D1037.1
chrI,H26D21.2,msh-2
chrI,H26D21.1,hus-1
chrI,F21A9.2,F21A9.2
chrI,F21A9.4a,mir-8204
chrI,F21A9.1,F21A9.1
chrI,T12F5.3.1,glh-4
chrI,T12F5.2,T12F5.2
chrI,T12F5.5a,larp-5
chrI,T12F5.6,21ur-11567
chrI,Y8G1A.1b,math-46
chrI,Y8G1A.2,inx-13
chrI,ZK770.3.2,inx-12
chrI,C32E8.12,C32E8.12
chrI,C32E8.6b,C32E8.6
chrI,C32E8.5.1,C32E8.5
chrI,C32E8.4.1,C32E8.4
chrI,C32E8.3,tppp-1
chrI,C32E8.2b,rpl-13
chrI,C32E8.9,C32E8.9
chrI,C32E8.11,
chrI,F53F10.5.1,
chrI,F53F10.4,
chrI,F53F10.3.1,
chrI,F53F10.8.2,
chrI,F53F10.2a.1,
chrI,F53F10.2b,
chrI,F53F10.1,
chrI,T03F1.5.2,
chrI,T03F1.6b,
chrI,T03F1.7,
chrI,T03F1.8b,
chrI,T03F1.3,
chrI,T03F1.13,
chrI,T03F1.1.2,
chrI,T03F1.12,
chrI,C50F2.2,
chrI,C50F2.9,
chrI,C50F2.4.1,
chrI,C50F2.11,
chrI,C50F2.6a.1,
chrI,C50F2.6a.3,
chrI,C50F2.7,
chrI,T20F5.2,
chrI,T20F5.3.2,
chrI,T20F5.4,
chrI,T20F5.5,
chrI,T20F5.7,
chrI,T21E3.1,
chrI,F47B3.9,
chrI,F47B3.5,
chrI,F47B3.6,
chrI,F47B3.2,
chrI,F28H1.4a,
chrI,F28H1.4b.2,
chrI,F28H1.3.3,
chrI,F28H1.3.1,
chrI,F28H1.1,
chrI,F55C7.7c,
chrI,F55C7.7d.2,
chrI,F55C7.7f.2,
chrI,F55C7.7d.1,
chrI,F55C7.7f.1,
chrI,F55C7.7i,
chrI,F55C7.7b,unc-73
chrI,F55C7.8,
chrI,C09D1.5,C09D1.5
chrI,C09D1.2,clec-89
chrI,C09D1.1d,
chrI,C24G7.4,acd-2
chrI,C24G7.1,delm-2
chrI,H31G24.4.1,cyb-2.2
chrI,H31G24.2,H31G24.2
chrI,E01A2.3,lin-44
chrI,E01A2.4.2,let-504
chrI,E01A2.2a.2,E01A2.2
chrI,E01A2.2b.2,E01A2.2
chrI,E01A2.6.1,akir-1
chrI,E01A2.6.2,akir-1
chrI,E01A2.9,E01A2.9
chrI,E01A2.1a,E01A2.1
chrI,E01A2.10,poml-3
chrI,R12E2.15.2,R12E2.15
chrI,R12E2.14,R12E2.14
chrI,R12E2.7.1,R12E2.7
chrI,R12E2.8,R12E2.8
chrI,R12E2.5,inx-16
